Feature,Importance
Flow IAT Max,0.052468572832107145
Init Fwd Win Bytes,0.0518947832242728
Flow Duration,0.03915712488342002
Flow Bytes/s,0.03839025649586286
Flow Packets/s,0.0380960598760175
Flow IAT Mean,0.037381607867451115
Fwd Packets/s,0.03735051347636837
Bwd Packets/s,0.034285790990565175
Init Bwd Win Bytes,0.028524359310029508
Fwd IAT Max,0.027291139297724473
Flow IAT Std,0.026946702650270198
Flow IAT Min,0.025891022729887317
Packet Length Variance,0.024469765321285045
Packet Length Std,0.024163064398198087
Avg Packet Size,0.023499584905147135
Avg Bwd Segment Size,0.021198818460657836
Packet Length Mean,0.021101537667896762
Fwd IAT Total,0.020936466792727787
Bwd Packet Length Mean,0.020178572043943334
Bwd IAT Max,0.019772414565908933
Packet Length Max,0.019357693427165933
Bwd Packet Length Max,0.01852763146480093
Fwd IAT Mean,0.01750645588623139
Bwd Packets Length Total,0.01700217739022151
Fwd IAT Min,0.016175182094917622
Subflow Bwd Bytes,0.01598040467782223
Idle Max,0.01534001801763737
Fwd Packet Length Max,0.015213495510576616
Bwd IAT Total,0.014970676516691173
Fwd Packet Length Mean,0.014681560555368062
Avg Fwd Segment Size,0.014505858487854434
Fwd Packets Length Total,0.014443819333525006
Fwd Header Length,0.014411314792173672
Subflow Fwd Bytes,0.014293243715288374
Fwd IAT Std,0.01352899078267191
Bwd Header Length,0.012841097136044675
Fwd Seg Size Min,0.011323292622515205
Bwd Packet Length Min,0.011305493333522392
Bwd IAT Mean,0.011091601485310923
Bwd Packet Length Std,0.010393199286065231
Packet Length Min,0.009563333138792256
Fwd Packet Length Min,0.00937024544477548
Bwd IAT Min,0.008776161310185706
Idle Mean,0.007811684260177702
Fwd Packet Length Std,0.006946075472155903
Bwd IAT Std,0.005896365132996863
Fwd Act Data Packets,0.005244732176617139
Idle Min,0.004861704317562254
Total Fwd Packets,0.004020034561750347
Subflow Fwd Packets,0.003827155782558219
Subflow Bwd Packets,0.003592540682850981
Active Min,0.0035552355954916576
Active Max,0.003443342494187266
Active Mean,0.003144554995913128
Total Backward Packets,0.0031071764393533255
Idle Std,0.0023325009178000885
Active Std,0.0021899528099790524
Down/Up Ratio,0.001875512210179326
URG Flag Count,0.0016987130408024497
PSH Flag Count,0.0009019685719474848
ACK Flag Count,0.0007688696223355895
FIN Flag Count,0.0003917707072738059
Fwd PSH Flags,0.00027879083174174764
SYN Flag Count,0.0002730969285120133
Protocol,0.00018699544253571372
ECE Flag Count,2.6006789532875474e-05
RST Flag Count,2.3657881595978027e-05
CWE Flag Count,2.9969813416360174e-07
Fwd URG Flags,1.584361152242285e-07
Bwd PSH Flags,0.0
Bwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
